Problem:    Mathprog3
    45 Restriccion_1_avion_por_slot[PISTA3,4]
                                   0                           1 
    46 Restriccion_1_avion_por_slot[PISTA3,5]
                                   0                           1 
    47 Restriccion_1_avion_por_slot[PISTA3,6]
                                   0                           1 
    48 Restriccion_1_avion_por_slot[PISTA3,7]
                                   0                           1 
    49 Restriccion_1_avion_por_slot[PISTA4,1]
                                   1                           1 
    50 Restriccion_1_avion_por_slot[PISTA4,2]
                                   0                           1 
    51 Restriccion_1_avion_por_slot[PISTA4,3]
                                   0                           1 
    52 Restriccion_1_avion_por_slot[PISTA4,4]
                                   0                           1 
    53 Restriccion_1_avion_por_slot[PISTA4,5]
                                   0                           1 
    54 Restriccion_1_avion_por_slot[PISTA4,6]
                                   1                           1 
    55 Restriccion_1_avion_por_slot[PISTA4,7]
                                   0                           1 
    56 Restriccion_slot_libre[AV1,PISTA1,1]
                                   0                          -0 
    57 Restriccion_slot_libre[AV1,PISTA1,2]
                                   0                          -0 
    58 Restriccion_slot_libre[AV1,PISTA1,3]
                                   0                          -0 
    59 Restriccion_slot_libre[AV1,PISTA1,4]
                                   0                          -0 
    60 Restriccion_slot_libre[AV1,PISTA1,5]
                                   0                           1 
    61 Restriccion_slot_libre[AV1,PISTA1,6]
                                   0                           1 
    62 Restriccion_slot_libre[AV1,PISTA1,7]
                                   0                          -0 
    63 Restriccion_slot_libre[AV1,PISTA2,1]
                                   0                          -0 
    64 Restriccion_slot_libre[AV1,PISTA2,2]
                                   0                          -0 
    65 Restriccion_slot_libre[AV1,PISTA2,3]
                                   0                           1 
    66 Restriccion_slot_libre[AV1,PISTA2,4]
                                   0                           1 
    67 Restriccion_slot_libre[AV1,PISTA2,5]
                                   0                          -0 
    68 Restriccion_slot_libre[AV1,PISTA2,6]
                                   0                          -0 
    69 Restriccion_slot_libre[AV1,PISTA2,7]
                                   0                          -0 
    70 Restriccion_slot_libre[AV1,PISTA3,1]
                                   0                           1 
    71 Restriccion_slot_libre[AV1,PISTA3,2]
                                   1                           1 
    72 Restriccion_slot_libre[AV1,PISTA3,3]
                                   0                           1 
    73 Restriccion_slot_libre[AV1,PISTA3,4]
                                   0                          -0 
    74 Restriccion_slot_libre[AV1,PISTA3,5]
                                   0                          -0 
    75 Restriccion_slot_libre[AV1,PISTA3,6]
                                   0                           1 
    76 Restriccion_slot_libre[AV1,PISTA3,7]
                                   0                          -0 
    77 Restriccion_slot_libre[AV1,PISTA4,1]
                                   0                           1 
    78 Restriccion_slot_libre[AV1,PISTA4,2]
                                   0                          -0 
    79 Restriccion_slot_libre[AV1,PISTA4,3]
                                   0                          -0 
    80 Restriccion_slot_libre[AV1,PISTA4,4]
                                   0                          -0 
    81 Restriccion_slot_libre[AV1,PISTA4,5]
                                   0                           1 
    82 Restriccion_slot_libre[AV1,PISTA4,6]
                                   0                           1 
    83 Restriccion_slot_libre[AV1,PISTA4,7]
                                   0                          -0 
    84 Restriccion_slot_libre[AV2,PISTA1,1]
                                   0                          -0 
    85 Restriccion_slot_libre[AV2,PISTA1,2]
                                   0                          -0 
    86 Restriccion_slot_libre[AV2,PISTA1,3]
                                   0                          -0 
    87 Restriccion_slot_libre[AV2,PISTA1,4]
                                   0                          -0 
    88 Restriccion_slot_libre[AV2,PISTA1,5]
                                   0                           1 
    89 Restriccion_slot_libre[AV2,PISTA1,6]
                                   0                           1 
    90 Restriccion_slot_libre[AV2,PISTA1,7]
                                   0                          -0 
    91 Restriccion_slot_libre[AV2,PISTA2,1]
                                   0                          -0 
    92 Restriccion_slot_libre[AV2,PISTA2,2]
                                   0                          -0 
    93 Restriccion_slot_libre[AV2,PISTA2,3]
                                   0                           1 
    94 Restriccion_slot_libre[AV2,PISTA2,4]
                                   0                           1 
    95 Restriccion_slot_libre[AV2,PISTA2,5]
                                   0                          -0 
    96 Restriccion_slot_libre[AV2,PISTA2,6]
                                   0                          -0 
    97 Restriccion_slot_libre[AV2,PISTA2,7]
                                   0                          -0 
    98 Restriccion_slot_libre[AV2,PISTA3,1]
                                   0                           1 
    99 Restriccion_slot_libre[AV2,PISTA3,2]
                                   0                           1 
   100 Restriccion_slot_libre[AV2,PISTA3,3]
                                   0                           1 
   101 Restriccion_slot_libre[AV2,PISTA3,4]
                                   0                          -0 
   102 Restriccion_slot_libre[AV2,PISTA3,5]
                                   0                          -0 
   103 Restriccion_slot_libre[AV2,PISTA3,6]
                                   0                           1 
   104 Restriccion_slot_libre[AV2,PISTA3,7]
                                   0                          -0 
   105 Restriccion_slot_libre[AV2,PISTA4,1]
                                   1                           1 
   106 Restriccion_slot_libre[AV2,PISTA4,2]
                                   0                          -0 
   107 Restriccion_slot_libre[AV2,PISTA4,3]
                                   0                          -0 
   108 Restriccion_slot_libre[AV2,PISTA4,4]
                                   0                          -0 
   109 Restriccion_slot_libre[AV2,PISTA4,5]
                                   0                           1 
   110 Restriccion_slot_libre[AV2,PISTA4,6]
                                   0                           1 
   111 Restriccion_slot_libre[AV2,PISTA4,7]
                                   0                          -0 
   112 Restriccion_slot_libre[AV3,PISTA1,1]
                                   0                          -0 
   113 Restriccion_slot_libre[AV3,PISTA1,2]
                                   0                          -0 
   114 Restriccion_slot_libre[AV3,PISTA1,3]
                                   0                          -0 
   115 Restriccion_slot_libre[AV3,PISTA1,4]
                                   0                          -0 
   116 Restriccion_slot_libre[AV3,PISTA1,5]
                                   0                           1 
   117 Restriccion_slot_libre[AV3,PISTA1,6]
                                   0                           1 
   118 Restriccion_slot_libre[AV3,PISTA1,7]
                                   0                          -0 
   119 Restriccion_slot_libre[AV3,PISTA2,1]
                                   0                          -0 
   120 Restriccion_slot_libre[AV3,PISTA2,2]
                                   0                          -0 
   121 Restriccion_slot_libre[AV3,PISTA2,3]
                                   0                           1 
   122 Restriccion_slot_libre[AV3,PISTA2,4]
                                   1                           1 
   123 Restriccion_slot_libre[AV3,PISTA2,5]
                                   0                          -0 
   124 Restriccion_slot_libre[AV3,PISTA2,6]
                                   0                          -0 
   125 Restriccion_slot_libre[AV3,PISTA2,7]
                                   0                          -0 
   126 Restriccion_slot_libre[AV3,PISTA3,1]
                                   0                           1 
   127 Restriccion_slot_libre[AV3,PISTA3,2]
                                   0                           1 
   128 Restriccion_slot_libre[AV3,PISTA3,3]
                                   0                           1 
   129 Restriccion_slot_libre[AV3,PISTA3,4]
                                   0                          -0 
   130 Restriccion_slot_libre[AV3,PISTA3,5]
                                   0                          -0 
   131 Restriccion_slot_libre[AV3,PISTA3,6]
                                   0                           1 
   132 Restriccion_slot_libre[AV3,PISTA3,7]
                                   0                          -0 
   133 Restriccion_slot_libre[AV3,PISTA4,1]
                                   0                           1 
   134 Restriccion_slot_libre[AV3,PISTA4,2]
                                   0                          -0 
   135 Restriccion_slot_libre[AV3,PISTA4,3]
                                   0                          -0 
   136 Restriccion_slot_libre[AV3,PISTA4,4]
                                   0                          -0 
   137 Restriccion_slot_libre[AV3,PISTA4,5]
                                   0                           1 
   138 Restriccion_slot_libre[AV3,PISTA4,6]
                                   0                           1 
   139 Restriccion_slot_libre[AV3,PISTA4,7]
                                   0                          -0 
   140 Restriccion_slot_libre[AV4,PISTA1,1]
                                   0                          -0 
   141 Restriccion_slot_libre[AV4,PISTA1,2]
                                   0                          -0 
   142 Restriccion_slot_libre[AV4,PISTA1,3]
                                   0                          -0 
   143 Restriccion_slot_libre[AV4,PISTA1,4]
                                   0                          -0 
   144 Restriccion_slot_libre[AV4,PISTA1,5]
                                   1                           1 
   145 Restriccion_slot_libre[AV4,PISTA1,6]
                                   0                           1 
   146 Restriccion_slot_libre[AV4,PISTA1,7]
                                   0                          -0 
   147 Restriccion_slot_libre[AV4,PISTA2,1]
                                   0                          -0 
   148 Restriccion_slot_libre[AV4,PISTA2,2]
                                   0                          -0 
   149 Restriccion_slot_libre[AV4,PISTA2,3]
                                   0                           1 
   150 Restriccion_slot_libre[AV4,PISTA2,4]
                                   0                           1 
   151 Restriccion_slot_libre[AV4,PISTA2,5]
                                   0                          -0 
   152 Restriccion_slot_libre[AV4,PISTA2,6]
                                   0                          -0 
   153 Restriccion_slot_libre[AV4,PISTA2,7]
                                   0                          -0 
   154 Restriccion_slot_libre[AV4,PISTA3,1]
                                   0                           1 
   155 Restriccion_slot_libre[AV4,PISTA3,2]
                                   0                           1 
   156 Restriccion_slot_libre[AV4,PISTA3,3]
                                   0                           1 
   157 Restriccion_slot_libre[AV4,PISTA3,4]
                                   0                          -0 
   158 Restriccion_slot_libre[AV4,PISTA3,5]
                                   0                          -0 
   159 Restriccion_slot_libre[AV4,PISTA3,6]
                                   0                           1 
   160 Restriccion_slot_libre[AV4,PISTA3,7]
                                   0                          -0 
   161 Restriccion_slot_libre[AV4,PISTA4,1]
                                   0                           1 
   162 Restriccion_slot_libre[AV4,PISTA4,2]
                                   0                          -0 
   163 Restriccion_slot_libre[AV4,PISTA4,3]
                                   0                          -0 
   164 Restriccion_slot_libre[AV4,PISTA4,4]
                                   0                          -0 
   165 Restriccion_slot_libre[AV4,PISTA4,5]
                                   0                           1 
   166 Restriccion_slot_libre[AV4,PISTA4,6]
                                   0                           1 
   167 Restriccion_slot_libre[AV4,PISTA4,7]
                                   0                          -0 
   168 Restriccion_slot_libre[AV5,PISTA1,1]
                                   0                          -0 
   169 Restriccion_slot_libre[AV5,PISTA1,2]
                                   0                          -0 
   170 Restriccion_slot_libre[AV5,PISTA1,3]
                                   0                          -0 
   171 Restriccion_slot_libre[AV5,PISTA1,4]
                                   0                          -0 
   172 Restriccion_slot_libre[AV5,PISTA1,5]
                                   0                           1 
   173 Restriccion_slot_libre[AV5,PISTA1,6]
                                   0                           1 
   174 Restriccion_slot_libre[AV5,PISTA1,7]
                                   0                          -0 
   175 Restriccion_slot_libre[AV5,PISTA2,1]
                                   0                          -0 
   176 Restriccion_slot_libre[AV5,PISTA2,2]
                                   0                          -0 
   177 Restriccion_slot_libre[AV5,PISTA2,3]
                                   0                           1 
   178 Restriccion_slot_libre[AV5,PISTA2,4]
                                   0                           1 
   179 Restriccion_slot_libre[AV5,PISTA2,5]
                                   0                          -0 
   180 Restriccion_slot_libre[AV5,PISTA2,6]
                                   0                          -0 
   181 Restriccion_slot_libre[AV5,PISTA2,7]
                                   0                          -0 
   182 Restriccion_slot_libre[AV5,PISTA3,1]
                                   0                           1 
   183 Restriccion_slot_libre[AV5,PISTA3,2]
                                   0                           1 
   184 Restriccion_slot_libre[AV5,PISTA3,3]
                                   0                           1 
   185 Restriccion_slot_libre[AV5,PISTA3,4]
                                   0                          -0 
   186 Restriccion_slot_libre[AV5,PISTA3,5]
                                   0                          -0 
   187 Restriccion_slot_libre[AV5,PISTA3,6]
                                   0                           1 
   188 Restriccion_slot_libre[AV5,PISTA3,7]
                                   0                          -0 
   189 Restriccion_slot_libre[AV5,PISTA4,1]
                                   0                           1 
   190 Restriccion_slot_libre[AV5,PISTA4,2]
                                   0                          -0 
   191 Restriccion_slot_libre[AV5,PISTA4,3]
                                   0                          -0 
   192 Restriccion_slot_libre[AV5,PISTA4,4]
                                   0                          -0 
   193 Restriccion_slot_libre[AV5,PISTA4,5]
                                   0                           1 
   194 Restriccion_slot_libre[AV5,PISTA4,6]
                                   1                           1 
   195 Restriccion_slot_libre[AV5,PISTA4,7]
                                   0                          -0 
   196 Restriccion_hora_minimo[AV1,PISTA1,1]
                                   0         -9990               
   197 Restriccion_hora_minimo[AV1,PISTA1,2]
                                   0        -10005               
   198 Restriccion_hora_minimo[AV1,PISTA1,3]
                                   0        -10020               
   199 Restriccion_hora_minimo[AV1,PISTA1,4]
                                   0        -10035               
   200 Restriccion_hora_minimo[AV1,PISTA1,5]
                                   0        -10050               
   201 Restriccion_hora_minimo[AV1,PISTA1,6]
                                   0        -10065               
   202 Restriccion_hora_minimo[AV1,PISTA1,7]
                                   0        -10080               
   203 Restriccion_hora_minimo[AV1,PISTA2,1]
                                   0         -9990               
   204 Restriccion_hora_minimo[AV1,PISTA2,2]
                                   0        -10005               
   205 Restriccion_hora_minimo[AV1,PISTA2,3]
                                   0        -10020               
   206 Restriccion_hora_minimo[AV1,PISTA2,4]
                                   0        -10035               
   207 Restriccion_hora_minimo[AV1,PISTA2,5]
                                   0        -10050               
   208 Restriccion_hora_minimo[AV1,PISTA2,6]
                                   0        -10065               
   209 Restriccion_hora_minimo[AV1,PISTA2,7]
                                   0        -10080               
   210 Restriccion_hora_minimo[AV1,PISTA3,1]
                                   0         -9990               
   211 Restriccion_hora_minimo[AV1,PISTA3,2]
                              -10000        -10005               
   212 Restriccion_hora_minimo[AV1,PISTA3,3]
                                   0        -10020               
   213 Restriccion_hora_minimo[AV1,PISTA3,4]
                                   0        -10035               
   214 Restriccion_hora_minimo[AV1,PISTA3,5]
                                   0        -10050               
   215 Restriccion_hora_minimo[AV1,PISTA3,6]
                                   0        -10065               
   216 Restriccion_hora_minimo[AV1,PISTA3,7]
                                   0        -10080               
   217 Restriccion_hora_minimo[AV1,PISTA4,1]
                                   0         -9990               
   218 Restriccion_hora_minimo[AV1,PISTA4,2]
                                   0        -10005               
   219 Restriccion_hora_minimo[AV1,PISTA4,3]
                                   0        -10020               
   220 Restriccion_hora_minimo[AV1,PISTA4,4]
                                   0        -10035               
   221 Restriccion_hora_minimo[AV1,PISTA4,5]
                                   0        -10050               
   222 Restriccion_hora_minimo[AV1,PISTA4,6]
                                   0        -10065               
   223 Restriccion_hora_minimo[AV1,PISTA4,7]
                                   0        -10080               
   224 Restriccion_hora_minimo[AV2,PISTA1,1]
                                   0        -10005               
   225 Restriccion_hora_minimo[AV2,PISTA1,2]
                                   0        -10020               
   226 Restriccion_hora_minimo[AV2,PISTA1,3]
                                   0        -10035               
   227 Restriccion_hora_minimo[AV2,PISTA1,4]
                                   0        -10050               
   228 Restriccion_hora_minimo[AV2,PISTA1,5]
                                   0        -10065               
   229 Restriccion_hora_minimo[AV2,PISTA1,6]
                                   0        -10080               
   230 Restriccion_hora_minimo[AV2,PISTA1,7]
                                   0        -10095               
   231 Restriccion_hora_minimo[AV2,PISTA2,1]
                                   0        -10005               
   232 Restriccion_hora_minimo[AV2,PISTA2,2]
                                   0        -10020               
   233 Restriccion_hora_minimo[AV2,PISTA2,3]
                                   0        -10035               
   234 Restriccion_hora_minimo[AV2,PISTA2,4]
                                   0        -10050               
   235 Restriccion_hora_minimo[AV2,PISTA2,5]
                                   0        -10065               
   236 Restriccion_hora_minimo[AV2,PISTA2,6]
                                   0        -10080               
   237 Restriccion_hora_minimo[AV2,PISTA2,7]
                                   0        -10095               
   238 Restriccion_hora_minimo[AV2,PISTA3,1]
                                   0        -10005               
   239 Restriccion_hora_minimo[AV2,PISTA3,2]
                                   0        -10020               
   240 Restriccion_hora_minimo[AV2,PISTA3,3]
                                   0        -10035               
   241 Restriccion_hora_minimo[AV2,PISTA3,4]
                                   0        -10050               
   242 Restriccion_hora_minimo[AV2,PISTA3,5]
                                   0        -10065               
   243 Restriccion_hora_minimo[AV2,PISTA3,6]
                                   0        -10080               
   244 Restriccion_hora_minimo[AV2,PISTA3,7]
                                   0        -10095               
   245 Restriccion_hora_minimo[AV2,PISTA4,1]
                              -10000        -10005               
   246 Restriccion_hora_minimo[AV2,PISTA4,2]
                                   0        -10020               
   247 Restriccion_hora_minimo[AV2,PISTA4,3]
                                   0        -10035               
   248 Restriccion_hora_minimo[AV2,PISTA4,4]
                                   0        -10050               
   249 Restriccion_hora_minimo[AV2,PISTA4,5]
                                   0        -10065               
   250 Restriccion_hora_minimo[AV2,PISTA4,6]
                                   0        -10080               
   251 Restriccion_hora_minimo[AV2,PISTA4,7]
                                   0        -10095               
   252 Restriccion_hora_minimo[AV3,PISTA1,1]
                                   0         -9960               
   253 Restriccion_hora_minimo[AV3,PISTA1,2]
                                   0         -9975               
   254 Restriccion_hora_minimo[AV3,PISTA1,3]
                                   0         -9990               
   255 Restriccion_hora_minimo[AV3,PISTA1,4]
                                   0        -10005               
   256 Restriccion_hora_minimo[AV3,PISTA1,5]
                                   0        -10020               
   257 Restriccion_hora_minimo[AV3,PISTA1,6]
                                   0        -10035               
   258 Restriccion_hora_minimo[AV3,PISTA1,7]
                                   0        -10050               
   259 Restriccion_hora_minimo[AV3,PISTA2,1]
                                   0         -9960               
   260 Restriccion_hora_minimo[AV3,PISTA2,2]
                                   0         -9975               
   261 Restriccion_hora_minimo[AV3,PISTA2,3]
                                   0         -9990               
   262 Restriccion_hora_minimo[AV3,PISTA2,4]
                              -10000        -10005               
   263 Restriccion_hora_minimo[AV3,PISTA2,5]
                                   0        -10020               
   264 Restriccion_hora_minimo[AV3,PISTA2,6]
                                   0        -10035               
   265 Restriccion_hora_minimo[AV3,PISTA2,7]
                                   0        -10050               
   266 Restriccion_hora_minimo[AV3,PISTA3,1]
                                   0         -9960               
   267 Restriccion_hora_minimo[AV3,PISTA3,2]
                                   0         -9975               
   268 Restriccion_hora_minimo[AV3,PISTA3,3]
                                   0         -9990               
   269 Restriccion_hora_minimo[AV3,PISTA3,4]
                                   0        -10005               
   270 Restriccion_hora_minimo[AV3,PISTA3,5]
                                   0        -10020               
   271 Restriccion_hora_minimo[AV3,PISTA3,6]
                                   0        -10035               
   272 Restriccion_hora_minimo[AV3,PISTA3,7]
                                   0        -10050               
   273 Restriccion_hora_minimo[AV3,PISTA4,1]
                                   0         -9960               
   274 Restriccion_hora_minimo[AV3,PISTA4,2]
                                   0         -9975               
   275 Restriccion_hora_minimo[AV3,PISTA4,3]
                                   0         -9990               
   276 Restriccion_hora_minimo[AV3,PISTA4,4]
                                   0        -10005               
   277 Restriccion_hora_minimo[AV3,PISTA4,5]
                                   0        -10020               
   278 Restriccion_hora_minimo[AV3,PISTA4,6]
                                   0        -10035               
   279 Restriccion_hora_minimo[AV3,PISTA4,7]
                                   0        -10050               
   280 Restriccion_hora_minimo[AV4,PISTA1,1]
                                   0         -9945               
   281 Restriccion_hora_minimo[AV4,PISTA1,2]
                                   0         -9960               
   282 Restriccion_hora_minimo[AV4,PISTA1,3]
                                   0         -9975               
   283 Restriccion_hora_minimo[AV4,PISTA1,4]
                                   0         -9990               
   284 Restriccion_hora_minimo[AV4,PISTA1,5]
                              -10000        -10005               
   285 Restriccion_hora_minimo[AV4,PISTA1,6]
                                   0        -10020               
   286 Restriccion_hora_minimo[AV4,PISTA1,7]
                                   0        -10035               
   287 Restriccion_hora_minimo[AV4,PISTA2,1]
                                   0         -9945               
   288 Restriccion_hora_minimo[AV4,PISTA2,2]
                                   0         -9960               
   289 Restriccion_hora_minimo[AV4,PISTA2,3]
                                   0         -9975               
   290 Restriccion_hora_minimo[AV4,PISTA2,4]
                                   0         -9990               
   291 Restriccion_hora_minimo[AV4,PISTA2,5]
                                   0        -10005               
   292 Restriccion_hora_minimo[AV4,PISTA2,6]
                                   0        -10020               
   293 Restriccion_hora_minimo[AV4,PISTA2,7]
                                   0        -10035               
   294 Restriccion_hora_minimo[AV4,PISTA3,1]
                                   0         -9945               
   295 Restriccion_hora_minimo[AV4,PISTA3,2]
                                   0         -9960               
   296 Restriccion_hora_minimo[AV4,PISTA3,3]
                                   0         -9975               
   297 Restriccion_hora_minimo[AV4,PISTA3,4]
                                   0         -9990               
   298 Restriccion_hora_minimo[AV4,PISTA3,5]
                                   0        -10005               
   299 Restriccion_hora_minimo[AV4,PISTA3,6]
                                   0        -10020               
   300 Restriccion_hora_minimo[AV4,PISTA3,7]
                                   0        -10035               
   301 Restriccion_hora_minimo[AV4,PISTA4,1]
                                   0         -9945               
   302 Restriccion_hora_minimo[AV4,PISTA4,2]
                                   0         -9960               
   303 Restriccion_hora_minimo[AV4,PISTA4,3]
                                   0         -9975               
   304 Restriccion_hora_minimo[AV4,PISTA4,4]
                                   0         -9990               
   305 Restriccion_hora_minimo[AV4,PISTA4,5]
                                   0        -10005               
   306 Restriccion_hora_minimo[AV4,PISTA4,6]
                                   0        -10020               
   307 Restriccion_hora_minimo[AV4,PISTA4,7]
                                   0        -10035               
   308 Restriccion_hora_minimo[AV5,PISTA1,1]
                                   0         -9930               
   309 Restriccion_hora_minimo[AV5,PISTA1,2]
                                   0         -9945               
   310 Restriccion_hora_minimo[AV5,PISTA1,3]
                                   0         -9960               
   311 Restriccion_hora_minimo[AV5,PISTA1,4]
                                   0         -9975               
   312 Restriccion_hora_minimo[AV5,PISTA1,5]
                                   0         -9990               
   313 Restriccion_hora_minimo[AV5,PISTA1,6]
                                   0        -10005               
   314 Restriccion_hora_minimo[AV5,PISTA1,7]
                                   0        -10020               
   315 Restriccion_hora_minimo[AV5,PISTA2,1]
                                   0         -9930               
   316 Restriccion_hora_minimo[AV5,PISTA2,2]
                                   0         -9945               
   317 Restriccion_hora_minimo[AV5,PISTA2,3]
                                   0         -9960               
   318 Restriccion_hora_minimo[AV5,PISTA2,4]
                                   0         -9975               
   319 Restriccion_hora_minimo[AV5,PISTA2,5]
                                   0         -9990               
   320 Restriccion_hora_minimo[AV5,PISTA2,6]
                                   0        -10005               
   321 Restriccion_hora_minimo[AV5,PISTA2,7]
                                   0        -10020               
   322 Restriccion_hora_minimo[AV5,PISTA3,1]
                                   0         -9930               
   323 Restriccion_hora_minimo[AV5,PISTA3,2]
                                   0         -9945               
   324 Restriccion_hora_minimo[AV5,PISTA3,3]
                                   0         -9960               
   325 Restriccion_hora_minimo[AV5,PISTA3,4]
                                   0         -9975               
   326 Restriccion_hora_minimo[AV5,PISTA3,5]
                                   0         -9990               
   327 Restriccion_hora_minimo[AV5,PISTA3,6]
                                   0        -10005               
   328 Restriccion_hora_minimo[AV5,PISTA3,7]
                                   0        -10020               
   329 Restriccion_hora_minimo[AV5,PISTA4,1]
                                   0         -9930               
   330 Restriccion_hora_minimo[AV5,PISTA4,2]
                                   0         -9945               
   331 Restriccion_hora_minimo[AV5,PISTA4,3]
                                   0         -9960               
   332 Restriccion_hora_minimo[AV5,PISTA4,4]
                                   0         -9975               
   333 Restriccion_hora_minimo[AV5,PISTA4,5]
                                   0         -9990               
   334 Restriccion_hora_minimo[AV5,PISTA4,6]
                              -10000        -10005               
   335 Restriccion_hora_minimo[AV5,PISTA4,7]
                                   0        -10020               
   336 Restriccion_hora_maximo[AV1,PISTA1,1]
                                   0                       10075 
   337 Restriccion_hora_maximo[AV1,PISTA1,2]
                                   0                       10060 
   338 Restriccion_hora_maximo[AV1,PISTA1,3]
                                   0                       10045 
   339 Restriccion_hora_maximo[AV1,PISTA1,4]
                                   0                       10030 
   340 Restriccion_hora_maximo[AV1,PISTA1,5]
                                   0                       10015 
   341 Restriccion_hora_maximo[AV1,PISTA1,6]
                                   0                       10000 
   342 Restriccion_hora_maximo[AV1,PISTA1,7]
                                   0                        9985 
   343 Restriccion_hora_maximo[AV1,PISTA2,1]
                                   0                       10075 
   344 Restriccion_hora_maximo[AV1,PISTA2,2]
                                   0                       10060 
   345 Restriccion_hora_maximo[AV1,PISTA2,3]
                                   0                       10045 
   346 Restriccion_hora_maximo[AV1,PISTA2,4]
                                   0                       10030 
   347 Restriccion_hora_maximo[AV1,PISTA2,5]
                                   0                       10015 
   348 Restriccion_hora_maximo[AV1,PISTA2,6]
                                   0                       10000 
   349 Restriccion_hora_maximo[AV1,PISTA2,7]
                                   0                        9985 
   350 Restriccion_hora_maximo[AV1,PISTA3,1]
                                   0                       10075 
   351 Restriccion_hora_maximo[AV1,PISTA3,2]
                               10000                       10060 
   352 Restriccion_hora_maximo[AV1,PISTA3,3]
                                   0                       10045 
   353 Restriccion_hora_maximo[AV1,PISTA3,4]
                                   0                       10030 
   354 Restriccion_hora_maximo[AV1,PISTA3,5]
                                   0                       10015 
   355 Restriccion_hora_maximo[AV1,PISTA3,6]
                                   0                       10000 
   356 Restriccion_hora_maximo[AV1,PISTA3,7]
                                   0                        9985 
   357 Restriccion_hora_maximo[AV1,PISTA4,1]
                                   0                       10075 
   358 Restriccion_hora_maximo[AV1,PISTA4,2]
                                   0                       10060 
   359 Restriccion_hora_maximo[AV1,PISTA4,3]
                                   0                       10045 
   360 Restriccion_hora_maximo[AV1,PISTA4,4]
                                   0                       10030 
   361 Restriccion_hora_maximo[AV1,PISTA4,5]
                                   0                       10015 
   362 Restriccion_hora_maximo[AV1,PISTA4,6]
                                   0                       10000 
   363 Restriccion_hora_maximo[AV1,PISTA4,7]
                                   0                        9985 
   364 Restriccion_hora_maximo[AV2,PISTA1,1]
                                   0                       10030 
   365 Restriccion_hora_maximo[AV2,PISTA1,2]
                                   0                       10015 
   366 Restriccion_hora_maximo[AV2,PISTA1,3]
                                   0                       10000 
   367 Restriccion_hora_maximo[AV2,PISTA1,4]
                                   0                        9985 
