Problem:    MathProg2
    56 Restriccion_slot_libre[AV1,PISTA4,1]
                                   0                           1 
    57 Restriccion_slot_libre[AV1,PISTA4,2]
                                   0                          -0 
    58 Restriccion_slot_libre[AV1,PISTA4,3]
                                   0                          -0 
    59 Restriccion_slot_libre[AV1,PISTA4,4]
                                   0                          -0 
    60 Restriccion_slot_libre[AV1,PISTA4,5]
                                   0                           1 
    61 Restriccion_slot_libre[AV1,PISTA4,6]
                                   0                           1 
    62 Restriccion_slot_libre[AV1,PISTA4,7]
                                   0                          -0 
    63 Restriccion_slot_libre[AV2,PISTA1,1]
                                   0                          -0 
    64 Restriccion_slot_libre[AV2,PISTA1,2]
                                   0                          -0 
    65 Restriccion_slot_libre[AV2,PISTA1,3]
                                   0                          -0 
    66 Restriccion_slot_libre[AV2,PISTA1,4]
                                   0                          -0 
    67 Restriccion_slot_libre[AV2,PISTA1,5]
                                   0                           1 
    68 Restriccion_slot_libre[AV2,PISTA1,6]
                                   0                           1 
    69 Restriccion_slot_libre[AV2,PISTA1,7]
                                   0                          -0 
    70 Restriccion_slot_libre[AV2,PISTA2,1]
                                   0                          -0 
    71 Restriccion_slot_libre[AV2,PISTA2,2]
                                   0                          -0 
    72 Restriccion_slot_libre[AV2,PISTA2,3]
                                   0                           1 
    73 Restriccion_slot_libre[AV2,PISTA2,4]
                                   0                           1 
    74 Restriccion_slot_libre[AV2,PISTA2,5]
                                   0                          -0 
    75 Restriccion_slot_libre[AV2,PISTA2,6]
                                   0                          -0 
    76 Restriccion_slot_libre[AV2,PISTA2,7]
                                   0                          -0 
    77 Restriccion_slot_libre[AV2,PISTA3,1]
                                   0                           1 
    78 Restriccion_slot_libre[AV2,PISTA3,2]
                                   0                           1 
    79 Restriccion_slot_libre[AV2,PISTA3,3]
                                   0                           1 
    80 Restriccion_slot_libre[AV2,PISTA3,4]
                                   0                          -0 
    81 Restriccion_slot_libre[AV2,PISTA3,5]
                                   0                          -0 
    82 Restriccion_slot_libre[AV2,PISTA3,6]
                                   0                           1 
    83 Restriccion_slot_libre[AV2,PISTA3,7]
                                   0                          -0 
    84 Restriccion_slot_libre[AV2,PISTA4,1]
                                   1                           1 
    85 Restriccion_slot_libre[AV2,PISTA4,2]
                                   0                          -0 
    86 Restriccion_slot_libre[AV2,PISTA4,3]
                                   0                          -0 
    87 Restriccion_slot_libre[AV2,PISTA4,4]
                                   0                          -0 
    88 Restriccion_slot_libre[AV2,PISTA4,5]
                                   0                           1 
    89 Restriccion_slot_libre[AV2,PISTA4,6]
                                   0                           1 
    90 Restriccion_slot_libre[AV2,PISTA4,7]
                                   0                          -0 
    91 Restriccion_slot_libre[AV3,PISTA1,1]
                                   0                          -0 
    92 Restriccion_slot_libre[AV3,PISTA1,2]
                                   0                          -0 
    93 Restriccion_slot_libre[AV3,PISTA1,3]
                                   0                          -0 
    94 Restriccion_slot_libre[AV3,PISTA1,4]
                                   0                          -0 
    95 Restriccion_slot_libre[AV3,PISTA1,5]
                                   0                           1 
    96 Restriccion_slot_libre[AV3,PISTA1,6]
                                   0                           1 
    97 Restriccion_slot_libre[AV3,PISTA1,7]
                                   0                          -0 
    98 Restriccion_slot_libre[AV3,PISTA2,1]
                                   0                          -0 
    99 Restriccion_slot_libre[AV3,PISTA2,2]
                                   0                          -0 
   100 Restriccion_slot_libre[AV3,PISTA2,3]
                                   0                           1 
   101 Restriccion_slot_libre[AV3,PISTA2,4]
                                   1                           1 
   102 Restriccion_slot_libre[AV3,PISTA2,5]
                                   0                          -0 
   103 Restriccion_slot_libre[AV3,PISTA2,6]
                                   0                          -0 
   104 Restriccion_slot_libre[AV3,PISTA2,7]
                                   0                          -0 
   105 Restriccion_slot_libre[AV3,PISTA3,1]
                                   0                           1 
   106 Restriccion_slot_libre[AV3,PISTA3,2]
                                   0                           1 
   107 Restriccion_slot_libre[AV3,PISTA3,3]
                                   0                           1 
   108 Restriccion_slot_libre[AV3,PISTA3,4]
                                   0                          -0 
   109 Restriccion_slot_libre[AV3,PISTA3,5]
                                   0                          -0 
   110 Restriccion_slot_libre[AV3,PISTA3,6]
                                   0                           1 
   111 Restriccion_slot_libre[AV3,PISTA3,7]
                                   0                          -0 
   112 Restriccion_slot_libre[AV3,PISTA4,1]
                                   0                           1 
   113 Restriccion_slot_libre[AV3,PISTA4,2]
                                   0                          -0 
   114 Restriccion_slot_libre[AV3,PISTA4,3]
                                   0                          -0 
   115 Restriccion_slot_libre[AV3,PISTA4,4]
                                   0                          -0 
   116 Restriccion_slot_libre[AV3,PISTA4,5]
                                   0                           1 
   117 Restriccion_slot_libre[AV3,PISTA4,6]
                                   0                           1 
   118 Restriccion_slot_libre[AV3,PISTA4,7]
                                   0                          -0 
   119 Restriccion_slot_libre[AV4,PISTA1,1]
                                   0                          -0 
   120 Restriccion_slot_libre[AV4,PISTA1,2]
                                   0                          -0 
   121 Restriccion_slot_libre[AV4,PISTA1,3]
                                   0                          -0 
   122 Restriccion_slot_libre[AV4,PISTA1,4]
                                   0                          -0 
   123 Restriccion_slot_libre[AV4,PISTA1,5]
                                   1                           1 
   124 Restriccion_slot_libre[AV4,PISTA1,6]
                                   0                           1 
   125 Restriccion_slot_libre[AV4,PISTA1,7]
                                   0                          -0 
   126 Restriccion_slot_libre[AV4,PISTA2,1]
                                   0                          -0 
   127 Restriccion_slot_libre[AV4,PISTA2,2]
                                   0                          -0 
   128 Restriccion_slot_libre[AV4,PISTA2,3]
                                   0                           1 
   129 Restriccion_slot_libre[AV4,PISTA2,4]
                                   0                           1 
   130 Restriccion_slot_libre[AV4,PISTA2,5]
                                   0                          -0 
   131 Restriccion_slot_libre[AV4,PISTA2,6]
                                   0                          -0 
   132 Restriccion_slot_libre[AV4,PISTA2,7]
                                   0                          -0 
   133 Restriccion_slot_libre[AV4,PISTA3,1]
                                   0                           1 
   134 Restriccion_slot_libre[AV4,PISTA3,2]
                                   0                           1 
   135 Restriccion_slot_libre[AV4,PISTA3,3]
                                   0                           1 
   136 Restriccion_slot_libre[AV4,PISTA3,4]
                                   0                          -0 
   137 Restriccion_slot_libre[AV4,PISTA3,5]
                                   0                          -0 
   138 Restriccion_slot_libre[AV4,PISTA3,6]
                                   0                           1 
   139 Restriccion_slot_libre[AV4,PISTA3,7]
                                   0                          -0 
   140 Restriccion_slot_libre[AV4,PISTA4,1]
                                   0                           1 
   141 Restriccion_slot_libre[AV4,PISTA4,2]
                                   0                          -0 
   142 Restriccion_slot_libre[AV4,PISTA4,3]
                                   0                          -0 
   143 Restriccion_slot_libre[AV4,PISTA4,4]
                                   0                          -0 
   144 Restriccion_slot_libre[AV4,PISTA4,5]
                                   0                           1 
   145 Restriccion_slot_libre[AV4,PISTA4,6]
                                   0                           1 
   146 Restriccion_slot_libre[AV4,PISTA4,7]
                                   0                          -0 
   147 Restriccion_slot_libre[AV5,PISTA1,1]
                                   0                          -0 
   148 Restriccion_slot_libre[AV5,PISTA1,2]
                                   0                          -0 
   149 Restriccion_slot_libre[AV5,PISTA1,3]
                                   0                          -0 
   150 Restriccion_slot_libre[AV5,PISTA1,4]
                                   0                          -0 
   151 Restriccion_slot_libre[AV5,PISTA1,5]
                                   0                           1 
   152 Restriccion_slot_libre[AV5,PISTA1,6]
                                   0                           1 
   153 Restriccion_slot_libre[AV5,PISTA1,7]
                                   0                          -0 
   154 Restriccion_slot_libre[AV5,PISTA2,1]
                                   0                          -0 
   155 Restriccion_slot_libre[AV5,PISTA2,2]
                                   0                          -0 
   156 Restriccion_slot_libre[AV5,PISTA2,3]
                                   0                           1 
   157 Restriccion_slot_libre[AV5,PISTA2,4]
                                   0                           1 
   158 Restriccion_slot_libre[AV5,PISTA2,5]
                                   0                          -0 
   159 Restriccion_slot_libre[AV5,PISTA2,6]
                                   0                          -0 
   160 Restriccion_slot_libre[AV5,PISTA2,7]
                                   0                          -0 
   161 Restriccion_slot_libre[AV5,PISTA3,1]
                                   0                           1 
   162 Restriccion_slot_libre[AV5,PISTA3,2]
                                   0                           1 
   163 Restriccion_slot_libre[AV5,PISTA3,3]
                                   0                           1 
   164 Restriccion_slot_libre[AV5,PISTA3,4]
                                   0                          -0 
   165 Restriccion_slot_libre[AV5,PISTA3,5]
                                   0                          -0 
   166 Restriccion_slot_libre[AV5,PISTA3,6]
                                   0                           1 
   167 Restriccion_slot_libre[AV5,PISTA3,7]
                                   0                          -0 
   168 Restriccion_slot_libre[AV5,PISTA4,1]
                                   0                           1 
   169 Restriccion_slot_libre[AV5,PISTA4,2]
                                   0                          -0 
   170 Restriccion_slot_libre[AV5,PISTA4,3]
                                   0                          -0 
   171 Restriccion_slot_libre[AV5,PISTA4,4]
                                   0                          -0 
   172 Restriccion_slot_libre[AV5,PISTA4,5]
                                   0                           1 
   173 Restriccion_slot_libre[AV5,PISTA4,6]
                                   1                           1 
   174 Restriccion_slot_libre[AV5,PISTA4,7]
                                   0                          -0 
   175 Restriccion_hora_minimo[AV1,PISTA1,1]
                                   0         -9990               
   176 Restriccion_hora_minimo[AV1,PISTA1,2]
                                   0        -10005               
   177 Restriccion_hora_minimo[AV1,PISTA1,3]
                                   0        -10020               
   178 Restriccion_hora_minimo[AV1,PISTA1,4]
                                   0        -10035               
   179 Restriccion_hora_minimo[AV1,PISTA1,5]
                                   0        -10050               
   180 Restriccion_hora_minimo[AV1,PISTA1,6]
                                   0        -10065               
   181 Restriccion_hora_minimo[AV1,PISTA1,7]
                                   0        -10080               
   182 Restriccion_hora_minimo[AV1,PISTA2,1]
                                   0         -9990               
   183 Restriccion_hora_minimo[AV1,PISTA2,2]
                                   0        -10005               
   184 Restriccion_hora_minimo[AV1,PISTA2,3]
                                   0        -10020               
   185 Restriccion_hora_minimo[AV1,PISTA2,4]
                                   0        -10035               
   186 Restriccion_hora_minimo[AV1,PISTA2,5]
                                   0        -10050               
   187 Restriccion_hora_minimo[AV1,PISTA2,6]
                                   0        -10065               
   188 Restriccion_hora_minimo[AV1,PISTA2,7]
                                   0        -10080               
   189 Restriccion_hora_minimo[AV1,PISTA3,1]
                                   0         -9990               
   190 Restriccion_hora_minimo[AV1,PISTA3,2]
                              -10000        -10005               
   191 Restriccion_hora_minimo[AV1,PISTA3,3]
                                   0        -10020               
   192 Restriccion_hora_minimo[AV1,PISTA3,4]
                                   0        -10035               
   193 Restriccion_hora_minimo[AV1,PISTA3,5]
                                   0        -10050               
   194 Restriccion_hora_minimo[AV1,PISTA3,6]
                                   0        -10065               
   195 Restriccion_hora_minimo[AV1,PISTA3,7]
                                   0        -10080               
   196 Restriccion_hora_minimo[AV1,PISTA4,1]
                                   0         -9990               
   197 Restriccion_hora_minimo[AV1,PISTA4,2]
                                   0        -10005               
   198 Restriccion_hora_minimo[AV1,PISTA4,3]
                                   0        -10020               
   199 Restriccion_hora_minimo[AV1,PISTA4,4]
                                   0        -10035               
   200 Restriccion_hora_minimo[AV1,PISTA4,5]
                                   0        -10050               
   201 Restriccion_hora_minimo[AV1,PISTA4,6]
                                   0        -10065               
   202 Restriccion_hora_minimo[AV1,PISTA4,7]
                                   0        -10080               
   203 Restriccion_hora_minimo[AV2,PISTA1,1]
                                   0        -10005               
   204 Restriccion_hora_minimo[AV2,PISTA1,2]
                                   0        -10020               
   205 Restriccion_hora_minimo[AV2,PISTA1,3]
                                   0        -10035               
   206 Restriccion_hora_minimo[AV2,PISTA1,4]
                                   0        -10050               
   207 Restriccion_hora_minimo[AV2,PISTA1,5]
                                   0        -10065               
   208 Restriccion_hora_minimo[AV2,PISTA1,6]
                                   0        -10080               
   209 Restriccion_hora_minimo[AV2,PISTA1,7]
                                   0        -10095               
   210 Restriccion_hora_minimo[AV2,PISTA2,1]
                                   0        -10005               
   211 Restriccion_hora_minimo[AV2,PISTA2,2]
                                   0        -10020               
   212 Restriccion_hora_minimo[AV2,PISTA2,3]
                                   0        -10035               
   213 Restriccion_hora_minimo[AV2,PISTA2,4]
                                   0        -10050               
   214 Restriccion_hora_minimo[AV2,PISTA2,5]
                                   0        -10065               
   215 Restriccion_hora_minimo[AV2,PISTA2,6]
                                   0        -10080               
   216 Restriccion_hora_minimo[AV2,PISTA2,7]
                                   0        -10095               
   217 Restriccion_hora_minimo[AV2,PISTA3,1]
                                   0        -10005               
   218 Restriccion_hora_minimo[AV2,PISTA3,2]
                                   0        -10020               
   219 Restriccion_hora_minimo[AV2,PISTA3,3]
                                   0        -10035               
   220 Restriccion_hora_minimo[AV2,PISTA3,4]
                                   0        -10050               
   221 Restriccion_hora_minimo[AV2,PISTA3,5]
                                   0        -10065               
   222 Restriccion_hora_minimo[AV2,PISTA3,6]
                                   0        -10080               
   223 Restriccion_hora_minimo[AV2,PISTA3,7]
                                   0        -10095               
   224 Restriccion_hora_minimo[AV2,PISTA4,1]
                              -10000        -10005               
   225 Restriccion_hora_minimo[AV2,PISTA4,2]
                                   0        -10020               
   226 Restriccion_hora_minimo[AV2,PISTA4,3]
                                   0        -10035               
   227 Restriccion_hora_minimo[AV2,PISTA4,4]
                                   0        -10050               
   228 Restriccion_hora_minimo[AV2,PISTA4,5]
                                   0        -10065               
   229 Restriccion_hora_minimo[AV2,PISTA4,6]
                                   0        -10080               
   230 Restriccion_hora_minimo[AV2,PISTA4,7]
                                   0        -10095               
   231 Restriccion_hora_minimo[AV3,PISTA1,1]
                                   0         -9960               
   232 Restriccion_hora_minimo[AV3,PISTA1,2]
                                   0         -9975               
   233 Restriccion_hora_minimo[AV3,PISTA1,3]
                                   0         -9990               
   234 Restriccion_hora_minimo[AV3,PISTA1,4]
                                   0        -10005               
   235 Restriccion_hora_minimo[AV3,PISTA1,5]
                                   0        -10020               
   236 Restriccion_hora_minimo[AV3,PISTA1,6]
                                   0        -10035               
   237 Restriccion_hora_minimo[AV3,PISTA1,7]
                                   0        -10050               
   238 Restriccion_hora_minimo[AV3,PISTA2,1]
                                   0         -9960               
   239 Restriccion_hora_minimo[AV3,PISTA2,2]
                                   0         -9975               
   240 Restriccion_hora_minimo[AV3,PISTA2,3]
                                   0         -9990               
   241 Restriccion_hora_minimo[AV3,PISTA2,4]
                              -10000        -10005               
   242 Restriccion_hora_minimo[AV3,PISTA2,5]
                                   0        -10020               
   243 Restriccion_hora_minimo[AV3,PISTA2,6]
                                   0        -10035               
   244 Restriccion_hora_minimo[AV3,PISTA2,7]
                                   0        -10050               
   245 Restriccion_hora_minimo[AV3,PISTA3,1]
                                   0         -9960               
   246 Restriccion_hora_minimo[AV3,PISTA3,2]
                                   0         -9975               
   247 Restriccion_hora_minimo[AV3,PISTA3,3]
                                   0         -9990               
   248 Restriccion_hora_minimo[AV3,PISTA3,4]
                                   0        -10005               
   249 Restriccion_hora_minimo[AV3,PISTA3,5]
                                   0        -10020               
   250 Restriccion_hora_minimo[AV3,PISTA3,6]
                                   0        -10035               
   251 Restriccion_hora_minimo[AV3,PISTA3,7]
                                   0        -10050               
   252 Restriccion_hora_minimo[AV3,PISTA4,1]
                                   0         -9960               
   253 Restriccion_hora_minimo[AV3,PISTA4,2]
                                   0         -9975               
   254 Restriccion_hora_minimo[AV3,PISTA4,3]
                                   0         -9990               
   255 Restriccion_hora_minimo[AV3,PISTA4,4]
                                   0        -10005               
   256 Restriccion_hora_minimo[AV3,PISTA4,5]
                                   0        -10020               
   257 Restriccion_hora_minimo[AV3,PISTA4,6]
                                   0        -10035               
   258 Restriccion_hora_minimo[AV3,PISTA4,7]
                                   0        -10050               
   259 Restriccion_hora_minimo[AV4,PISTA1,1]
                                   0         -9945               
   260 Restriccion_hora_minimo[AV4,PISTA1,2]
                                   0         -9960               
   261 Restriccion_hora_minimo[AV4,PISTA1,3]
                                   0         -9975               
   262 Restriccion_hora_minimo[AV4,PISTA1,4]
                                   0         -9990               
   263 Restriccion_hora_minimo[AV4,PISTA1,5]
                              -10000        -10005               
   264 Restriccion_hora_minimo[AV4,PISTA1,6]
                                   0        -10020               
   265 Restriccion_hora_minimo[AV4,PISTA1,7]
                                   0        -10035               
   266 Restriccion_hora_minimo[AV4,PISTA2,1]
                                   0         -9945               
   267 Restriccion_hora_minimo[AV4,PISTA2,2]
                                   0         -9960               
   268 Restriccion_hora_minimo[AV4,PISTA2,3]
                                   0         -9975               
   269 Restriccion_hora_minimo[AV4,PISTA2,4]
                                   0         -9990               
   270 Restriccion_hora_minimo[AV4,PISTA2,5]
                                   0        -10005               
   271 Restriccion_hora_minimo[AV4,PISTA2,6]
                                   0        -10020               
   272 Restriccion_hora_minimo[AV4,PISTA2,7]
                                   0        -10035               
   273 Restriccion_hora_minimo[AV4,PISTA3,1]
                                   0         -9945               
   274 Restriccion_hora_minimo[AV4,PISTA3,2]
                                   0         -9960               
   275 Restriccion_hora_minimo[AV4,PISTA3,3]
                                   0         -9975               
   276 Restriccion_hora_minimo[AV4,PISTA3,4]
                                   0         -9990               
   277 Restriccion_hora_minimo[AV4,PISTA3,5]
                                   0        -10005               
   278 Restriccion_hora_minimo[AV4,PISTA3,6]
                                   0        -10020               
   279 Restriccion_hora_minimo[AV4,PISTA3,7]
                                   0        -10035               
   280 Restriccion_hora_minimo[AV4,PISTA4,1]
                                   0         -9945               
   281 Restriccion_hora_minimo[AV4,PISTA4,2]
                                   0         -9960               
   282 Restriccion_hora_minimo[AV4,PISTA4,3]
                                   0         -9975               
   283 Restriccion_hora_minimo[AV4,PISTA4,4]
                                   0         -9990               
   284 Restriccion_hora_minimo[AV4,PISTA4,5]
                                   0        -10005               
   285 Restriccion_hora_minimo[AV4,PISTA4,6]
                                   0        -10020               
   286 Restriccion_hora_minimo[AV4,PISTA4,7]
                                   0        -10035               
   287 Restriccion_hora_minimo[AV5,PISTA1,1]
                                   0         -9930               
   288 Restriccion_hora_minimo[AV5,PISTA1,2]
                                   0         -9945               
   289 Restriccion_hora_minimo[AV5,PISTA1,3]
                                   0         -9960               
   290 Restriccion_hora_minimo[AV5,PISTA1,4]
                                   0         -9975               
   291 Restriccion_hora_minimo[AV5,PISTA1,5]
                                   0         -9990               
   292 Restriccion_hora_minimo[AV5,PISTA1,6]
                                   0        -10005               
   293 Restriccion_hora_minimo[AV5,PISTA1,7]
                                   0        -10020               
   294 Restriccion_hora_minimo[AV5,PISTA2,1]
                                   0         -9930               
   295 Restriccion_hora_minimo[AV5,PISTA2,2]
                                   0         -9945               
   296 Restriccion_hora_minimo[AV5,PISTA2,3]
                                   0         -9960               
   297 Restriccion_hora_minimo[AV5,PISTA2,4]
                                   0         -9975               
   298 Restriccion_hora_minimo[AV5,PISTA2,5]
                                   0         -9990               
   299 Restriccion_hora_minimo[AV5,PISTA2,6]
                                   0        -10005               
   300 Restriccion_hora_minimo[AV5,PISTA2,7]
                                   0        -10020               
   301 Restriccion_hora_minimo[AV5,PISTA3,1]
                                   0         -9930               
   302 Restriccion_hora_minimo[AV5,PISTA3,2]
                                   0         -9945               
   303 Restriccion_hora_minimo[AV5,PISTA3,3]
                                   0         -9960               
   304 Restriccion_hora_minimo[AV5,PISTA3,4]
                                   0         -9975               
   305 Restriccion_hora_minimo[AV5,PISTA3,5]
                                   0         -9990               
   306 Restriccion_hora_minimo[AV5,PISTA3,6]
                                   0        -10005               
   307 Restriccion_hora_minimo[AV5,PISTA3,7]
                                   0        -10020               
   308 Restriccion_hora_minimo[AV5,PISTA4,1]
                                   0         -9930               
   309 Restriccion_hora_minimo[AV5,PISTA4,2]
                                   0         -9945               
   310 Restriccion_hora_minimo[AV5,PISTA4,3]
                                   0         -9960               
   311 Restriccion_hora_minimo[AV5,PISTA4,4]
                                   0         -9975               
   312 Restriccion_hora_minimo[AV5,PISTA4,5]
                                   0         -9990               
   313 Restriccion_hora_minimo[AV5,PISTA4,6]
                              -10000        -10005               
   314 Restriccion_hora_minimo[AV5,PISTA4,7]
                                   0        -10020               
   315 Restriccion_hora_maximo[AV1,PISTA1,1]
                                   0                       10075 
   316 Restriccion_hora_maximo[AV1,PISTA1,2]
                                   0                       10060 
   317 Restriccion_hora_maximo[AV1,PISTA1,3]
                                   0                       10045 
   318 Restriccion_hora_maximo[AV1,PISTA1,4]
                                   0                       10030 
   319 Restriccion_hora_maximo[AV1,PISTA1,5]
                                   0                       10015 
   320 Restriccion_hora_maximo[AV1,PISTA1,6]
                                   0                       10000 
   321 Restriccion_hora_maximo[AV1,PISTA1,7]
                                   0                        9985 
   322 Restriccion_hora_maximo[AV1,PISTA2,1]
                                   0                       10075 
   323 Restriccion_hora_maximo[AV1,PISTA2,2]
                                   0                       10060 
   324 Restriccion_hora_maximo[AV1,PISTA2,3]
                                   0                       10045 
   325 Restriccion_hora_maximo[AV1,PISTA2,4]
                                   0                       10030 
   326 Restriccion_hora_maximo[AV1,PISTA2,5]
                                   0                       10015 
   327 Restriccion_hora_maximo[AV1,PISTA2,6]
                                   0                       10000 
   328 Restriccion_hora_maximo[AV1,PISTA2,7]
                                   0                        9985 
   329 Restriccion_hora_maximo[AV1,PISTA3,1]
                                   0                       10075 
   330 Restriccion_hora_maximo[AV1,PISTA3,2]
                               10000                       10060 
   331 Restriccion_hora_maximo[AV1,PISTA3,3]
                                   0                       10045 
   332 Restriccion_hora_maximo[AV1,PISTA3,4]
                                   0                       10030 
   333 Restriccion_hora_maximo[AV1,PISTA3,5]
                                   0                       10015 
   334 Restriccion_hora_maximo[AV1,PISTA3,6]
                                   0                       10000 
   335 Restriccion_hora_maximo[AV1,PISTA3,7]
                                   0                        9985 
   336 Restriccion_hora_maximo[AV1,PISTA4,1]
                                   0                       10075 
   337 Restriccion_hora_maximo[AV1,PISTA4,2]
                                   0                       10060 
   338 Restriccion_hora_maximo[AV1,PISTA4,3]
                                   0                       10045 
   339 Restriccion_hora_maximo[AV1,PISTA4,4]
                                   0                       10030 
   340 Restriccion_hora_maximo[AV1,PISTA4,5]
                                   0                       10015 
   341 Restriccion_hora_maximo[AV1,PISTA4,6]
                                   0                       10000 
   342 Restriccion_hora_maximo[AV1,PISTA4,7]
                                   0                        9985 
   343 Restriccion_hora_maximo[AV2,PISTA1,1]
                                   0                       10030 
   344 Restriccion_hora_maximo[AV2,PISTA1,2]
                                   0                       10015 
   345 Restriccion_hora_maximo[AV2,PISTA1,3]
                                   0                       10000 
   346 Restriccion_hora_maximo[AV2,PISTA1,4]
                                   0                        9985 
   347 Restriccion_hora_maximo[AV2,PISTA1,5]
                                   0                        9970 
   348 Restriccion_hora_maximo[AV2,PISTA1,6]
                                   0                        9955 
   349 Restriccion_hora_maximo[AV2,PISTA1,7]
                                   0                        9940 
   350 Restriccion_hora_maximo[AV2,PISTA2,1]
                                   0                       10030 
   351 Restriccion_hora_maximo[AV2,PISTA2,2]
                                   0                       10015 
   352 Restriccion_hora_maximo[AV2,PISTA2,3]
                                   0                       10000 
   353 Restriccion_hora_maximo[AV2,PISTA2,4]
                                   0                        9985 
   354 Restriccion_hora_maximo[AV2,PISTA2,5]
                                   0                        9970 
   355 Restriccion_hora_maximo[AV2,PISTA2,6]
                                   0                        9955 
   356 Restriccion_hora_maximo[AV2,PISTA2,7]
                                   0                        9940 
   357 Restriccion_hora_maximo[AV2,PISTA3,1]
                                   0                       10030 
   358 Restriccion_hora_maximo[AV2,PISTA3,2]
                                   0                       10015 
   359 Restriccion_hora_maximo[AV2,PISTA3,3]
                                   0                       10000 
   360 Restriccion_hora_maximo[AV2,PISTA3,4]
                                   0                        9985 
   361 Restriccion_hora_maximo[AV2,PISTA3,5]
                                   0                        9970 
   362 Restriccion_hora_maximo[AV2,PISTA3,6]
                                   0                        9955 
   363 Restriccion_hora_maximo[AV2,PISTA3,7]
                                   0                        9940 
